Wall time,Step,Value
1601476506.209026,18,0.0
1601476512.3978934,24,0.0
1601476527.7875707,40,0.0
1601476529.9215782,42,0.0
1601476533.1379056,45,0.0
1601476544.7714882,56,0.0
1601476558.0449653,71,0.0
1601476561.2157655,74,0.0
1601476582.0816615,94,0.0
1601476594.813196,106,0.0
1601476613.871393,126,0.0
1601476641.9004729,155,0.0
1601476643.917286,158,0.0
1601476652.6063807,167,0.0
1601476669.6410773,183,0.0
1601476671.760625,185,0.0
1601476714.1698816,229,0.0
1601476719.498847,234,0.0
1601476734.7436926,249,0.0
1601476741.2215858,255,0.0
1601476745.5517504,260,0.0
1601476752.5514796,267,0.0
1601476758.1705098,273,0.0
1601476793.9713016,308,0.0
1601476796.1641567,310,0.0
1601476804.9110522,318,0.0
1601476826.1986632,339,0.0
1601476834.964722,347,0.0
1601476855.1560187,367,0.0
1601476911.7298882,421,0.0
1601476912.8230178,422,0.0
1601476929.4866495,439,0.0
1601476932.7723541,442,0.0
1601476935.4317317,445,0.0
1601476950.0885453,460,0.0
1601476953.3841677,463,0.0
1601476954.4822118,464,0.0
1601476964.9398367,474,0.0
1601476984.4971693,493,0.0
1601477005.9138384,514,0.0
1601477024.2158651,531,0.0
1601477029.697964,536,0.0
1601477057.0285335,563,0.0
1601477067.873689,573,0.0
1601477074.4346516,579,0.0
1601477080.6880043,586,0.8199999928474426
1601477081.7819705,587,0.0
1601477117.9068685,620,0.0
1601477120.097967,622,0.0
1601477131.2821047,634,0.0
1601477138.6999595,641,0.0
1601477139.8053083,642,0.0
1601477141.9647267,644,0.0
1601477145.0410721,647,0.0
1601477146.9892921,649,0.0
1601477159.322465,661,0.0
1601477169.5825005,671,0.0
1601477214.2213047,714,0.0
1601477222.6052363,722,0.0
1601477230.4864912,730,0.0
1601477239.0111854,739,0.0
1601477252.4752731,752,0.0
1601477256.36924,756,0.0
1601477265.3175662,765,0.0
1601477268.8297656,769,0.0
1601477270.1153855,771,0.8019999861717224
1601477272.3222995,773,0.0
1601477279.7400982,780,0.0
1601477285.0056064,785,0.20800000429153442
1601477287.1626122,787,0.0
1601477291.0262682,792,0.0
1601477293.1902552,794,0.0
1601477296.8116686,798,0.0
1601477301.1328533,802,0.0
1601477307.1948278,808,0.0
1601477308.1850219,809,0.0
1601477331.7761936,832,0.0
1601477336.0871477,836,0.0
1601477370.8324873,869,0.0
1601477378.3990023,876,0.0
1601477383.8581536,882,0.0
1601477398.0615273,896,0.0
1601477401.6654015,900,0.0
1601477409.3162239,907,0.0
1601477411.5035057,909,0.0
1601477420.2496965,917,0.0
1601477434.5435605,931,0.0
1601477435.6226542,932,0.0
1601477445.2238836,942,0.44200000166893005
1601477447.736967,945,0.0
1601477455.8905964,954,0.0
1601477464.2003431,962,0.0
1601477470.0354445,971,0.41499999165534973
1601477471.1300623,972,0.0
1601477477.6875463,978,0.0
1601477478.1243763,979,0.6399999856948853
1601477483.0507479,984,0.0
1601477502.1335776,1002,0.0
1601477505.413107,1005,0.0
1601477515.2570872,1014,0.0
1601477546.0739148,1044,0.0
1601477558.4087765,1057,0.0
1601477564.979976,1063,0.0
1601477568.2410083,1066,0.0
1601477570.4357138,1068,0.0
1601477573.9501085,1072,0.0
1601477580.5217462,1078,0.0
1601477585.9896138,1083,0.0
1601477594.2716007,1093,0.0
1601477599.9279163,1099,0.0
1601477605.3988814,1104,0.0
1601477615.8450928,1114,0.0
1601477661.3341775,1156,0.0
1601477664.647228,1160,0.0
1601477664.6613598,1161,0.0
1601477665.7562342,1162,0.0
1601477684.4313407,1180,0.0
1601477697.1134164,1193,0.0
1601477709.4513414,1206,0.0
1601477737.1721704,1232,0.0
1601477750.3018203,1244,0.0
1601477761.9654987,1255,0.0
1601477764.6882534,1258,0.0
1601477767.970789,1261,0.0
1601477787.5475163,1281,0.1809999942779541
1601477794.1095414,1287,0.0
1601477800.640021,1294,0.550000011920929
1601477805.2580237,1300,0.0
1601477821.0551841,1316,0.0
1601477824.3413324,1319,0.0
1601477836.1022205,1330,0.0
1601477838.4852865,1333,0.0
1601477841.7576797,1336,0.0
1601477842.8388555,1337,0.0
1601477893.0217211,1385,0.1809999942779541
1601477895.924228,1388,0.0
1601477898.940556,1391,0.0
1601477900.0372941,1392,0.0
1601477922.440634,1414,0.0
1601477934.8606434,1426,0.0
1601477945.1742244,1436,0.0
1601477948.9114215,1440,0.0
1601477974.242499,1465,0.0
1601477975.3371818,1466,0.0
1601477987.3759975,1477,0.0
1601477994.808096,1485,0.0
1601477999.1858485,1489,0.0
1601478001.3763502,1491,0.0
1601478031.6704764,1523,0.0
1601478035.945489,1527,0.0
1601478060.1405103,1552,0.0
1601478076.6760783,1568,0.0
1601478077.7529893,1569,0.0
1601478092.4721699,1584,0.0
1601478095.8703284,1588,0.0
1601478113.017468,1604,0.0
1601478113.86519,1605,0.289000004529953
1601478136.6006765,1627,0.0
1601478142.0483146,1632,0.0
1601478146.5453296,1637,0.0
1601478149.8280752,1640,0.0
1601478154.9981415,1645,0.0
1601478158.2885711,1648,0.0
1601478170.6428692,1660,0.0
1601478178.6054082,1668,0.0
1601478185.4444163,1675,0.0
1601478193.0949626,1682,0.0
1601478201.6235476,1691,0.0
1601478205.1075175,1695,0.1899999976158142
1601478207.2978115,1697,0.0
1601478209.4707475,1699,0.0
1601478212.3123755,1702,0.0
1601478218.1207347,1709,0.0
1601478227.9768765,1718,0.0
1601478238.9429703,1728,0.0
