Wall time,Step,Value
1600441234.5653627,0,0.0
1600441360.0572364,1,0.0
1600441487.2356398,2,0.0
1600441615.5864923,3,0.0
1600441744.3059936,4,0.0
1600441872.5644875,5,0.0
1600442007.349613,6,0.0
1600442138.4499872,7,0.0
1600442269.6653256,8,0.0
1600442398.5498989,9,0.0
1600442528.960981,10,0.0
1600442662.2758703,11,0.0
1600442791.1130238,12,0.0
1600442919.7228909,13,0.0
1600443036.4750774,14,0.18437500298023224
1600443163.2900693,15,0.0
1600443296.0442073,16,0.0
1600443419.0440936,17,0.0
1600443538.2922428,18,0.0
1600443656.5681865,19,0.0
1600443773.620651,20,0.0
1600443891.7106218,21,0.0
1600444011.6408896,22,0.0
1600444129.9902365,23,0.0
1600444243.6152103,24,0.0
1600444360.4869723,25,0.0
1600444480.3167264,26,0.0
1600444597.6225264,27,0.0
1600444716.2524471,28,0.0
1600444833.8245976,29,0.0
1600444949.6154954,30,0.0
1600445066.3889396,31,0.0
1600445183.62643,32,0.0
1600445300.8026829,33,0.0
1600445417.9978096,34,0.0
1600445541.1160247,35,0.0
1600445658.3744168,36,0.0
1600445773.4518604,37,0.0
1600445891.6489418,38,0.0
1600446012.3113377,39,0.0
1600446132.8635,40,0.0
1600446250.4183266,41,0.0
1600446372.208374,42,0.0
1600446491.8326912,43,0.0
1600446609.359313,44,0.0
1600446726.0310025,45,0.0
1600446843.8728387,46,0.0
1600446963.0483139,47,0.0
1600447080.8888721,48,0.0
1600447198.7678454,49,0.0
1600447315.2853854,50,0.0
1600447431.3164816,51,0.0
1600447547.1646214,52,0.0
1600447668.0185783,53,0.0
1600447785.0438263,54,0.0
1600447905.6197107,55,0.0
1600448024.0727248,56,0.0
1600448144.965232,57,0.0
1600448262.3639042,58,0.0
1600448379.8718212,59,0.0
1600448492.608702,60,0.11757812649011612
1600448612.4925826,61,0.0
1600448732.2531195,62,0.0
1600448851.2973945,63,0.0
1600448966.577222,64,0.0
1600449083.0052316,65,0.0
1600449203.004238,66,0.0
1600449313.7311366,67,0.0
1600449430.310612,68,0.0
1600449543.833026,69,0.0
1600449665.0419457,70,0.0
1600449785.174517,71,0.0
1600449902.629258,72,0.0
1600450021.99568,73,0.0
1600450140.4830918,74,0.0
1600450256.4157488,75,0.0
1600450370.9527528,76,0.0
1600450488.3943303,77,0.0
1600450609.1132119,78,0.0
1600450726.0930722,79,0.0
1600450844.7905252,80,0.0
1600450962.8331,81,0.0
1600451085.033234,82,0.0
1600451202.238272,83,0.0
1600451321.7248127,84,0.0
1600451443.2603433,85,0.0
1600451561.6762128,86,0.0
1600451679.8433478,87,0.0
1600451797.9353204,88,0.0
1600451917.4804988,89,0.0
1600452033.0144255,90,0.0
1600452150.114421,91,0.0
1600452265.8276112,92,0.0
1600452383.653182,93,0.0
1600452501.7041938,94,0.0
1600452625.8210843,95,0.0
1600452744.168719,96,0.0
1600452864.4801931,97,0.0
1600452987.470786,98,0.0
1600453105.040733,99,0.0
1600453221.6676495,100,0.0
1600453336.0411475,101,0.0
1600453451.2982094,102,0.0
1600453572.0450108,103,0.0
1600453686.8239872,104,0.0
1600453806.2012408,105,0.0
1600453925.776223,106,0.0
1600454043.0283434,107,0.0
1600454164.8668945,108,0.0
1600454285.4430912,109,0.0
1600454402.8928955,110,0.0
1600454521.993104,111,0.0
1600454641.3463745,112,0.0
1600454757.7398062,113,0.0
1600454877.4283366,114,0.0
